id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/land_encounters_and_points_of_interest				
7017900578	land_enc_mission_smithy_kislev_ursire	VAR_CHANCE	100	default
7017900579	land_enc_mission_smithy_kislev_ursire	GEN_TARGET_NONE		default
7017900580	land_enc_mission_smithy_kislev_wyrm_hunter	VAR_CHANCE	100	default
7017900581	land_enc_mission_smithy_kislev_wyrm_hunter	GEN_TARGET_NONE		default
7017900582	land_enc_mission_smithy_kislev_dazhs_brazier	VAR_CHANCE	100	default
7017900583	land_enc_mission_smithy_kislev_dazhs_brazier	GEN_TARGET_NONE		default
7017900584	land_enc_mission_smithy_dark_elves_armour_of_living_death	VAR_CHANCE	100	default
7017900585	land_enc_mission_smithy_dark_elves_armour_of_living_death	GEN_TARGET_NONE		default
7017900586	land_enc_mission_smithy_dark_elves_armour_armour_of_eternal_servitude	VAR_CHANCE	100	default
7017900587	land_enc_mission_smithy_dark_elves_armour_armour_of_eternal_servitude	GEN_TARGET_NONE		default
7017900588	land_enc_mission_smithy_dark_elves_anc_weapon_chillblade	VAR_CHANCE	100	default
7017900589	land_enc_mission_smithy_dark_elves_anc_weapon_chillblade	GEN_TARGET_NONE		default
